internal_family_label,condition,model_display,roster_name,run_id,run_uid,source_path,source_path_short
base_model_as_tool,dom-agi,OLMo 3 32B Base,OLMo 3 32B Base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,33c3b5876d814d432c9957f3441f01e58e4f8681,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-agi,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-agi
base_model_as_tool,dom-agi,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
base_model_as_tool,dom-agi,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,356e5ccaff59febc37a3e2d77af06ee9124f1174,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-agi,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-agi
base_model_as_tool,dom-tech,OLMo 3 32B Base,OLMo 3 32B Base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,31f3b974cca31d103912cdc91c7f87fd86613646,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-tech,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-tech
base_model_as_tool,dom-tech,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,ba7cbda7d93ee100ff681fa1fea063e28750fba8,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-tech,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-tech
base_model_as_tool,dom-tech,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,5f2ed3316d14545663bd04bbe9267b5e93087973,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-tech,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-tech
base_model_as_tool,mag0,OLMo 3 32B Base,OLMo 3 32B Base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,3e5bf186cf7a94eaeb68ffb8f80fd08f08ab8698,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag0,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag0
base_model_as_tool,mag0,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,3c07c8a137acc14cbf386858b07571d87cdd9661,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag0,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag0
base_model_as_tool,mag0,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,2ec295c49e9fc76a684c9a5e7fba4475d07aa444,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag0,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag0
base_model_as_tool,mag1,OLMo 3 32B Base,OLMo 3 32B Base,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,1db20037aead8578550d08c4c9a85a108d16df59,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag1,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag1
base_model_as_tool,mag1,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,d5d7b1a2572406b60ace3bd23d4cc7d8f2012e7e,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag1,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag1
base_model_as_tool,mag1,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,4e64daf3585c64b385539431560b4f447e7426d1,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag1,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag1
base_model_as_tool,mag25,OLMo 3 32B Base,OLMo 3 32B Base,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,1ea6f508435eb25b25efb24b58a175a5f1aa86cd,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag25,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag25
base_model_as_tool,mag25,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag25,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag25
base_model_as_tool,mag25,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,5da5a08d776acf648cf486d44e05466a27a378de,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25
base_model_as_tool,mag5,OLMo 3 32B Base,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
base_model_as_tool,mag5,OLMo 3 32B Instruct,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
base_model_as_tool,mag5,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,f72c9286aaf0b0bf2f86e8fbf6de8557b90f7bac,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag5,Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag5
